ID,comp1,GroupContrib,mz,RT,Corr_ID,SpectrumID,Compound_Name,Adduct,adduct,NPC#pathway,NPC#superclass,NPC#class,EffectSize,LowerLimitCI,UpperLimitCI
16342,1.0339633123241763,B6,510.3560937157839,5.4224014,NA,CCMSLIB00010066669,pc(17:0/0:0); [m+h]+ c25h53n1o7p1,M+H,[M + H]+,Fatty acids,Glycerophospholipids,Glycerophosphocholines,-0.23847376788553273,-0.4757568233196272,0.0311647478745016
1686,1.03381748420724,3XTG,328.13826738928924,0.50726044,NA,CCMSLIB00005741248,massbank:pr310826 n-fructosyl phenylalanine,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.2670906200317965,-0.006822161243465415,0.5037202881956011
1275,1.03187592770117,B6,152.0565536108646,0.36515868,NA,CCMSLIB00003137276,guanine,M+H,[M + H]+,Alkaloids,Nicotinic acid alkaloids,Pyridine alkaloids,-0.24801271860095386,-0.48339892258660166,0.020818830507450682
15815,1.0280194884636447,B6,518.3231636833427,5.159548,19,CCMSLIB00003139839,1-hexadecanoyl-sn-glycero-3-phosphocholine,M+Na,[M + Na]+,Fatty acids,Glycerophospholipids,Glycerophosphocholines,-0.3052464228934818,-0.5369799519237698,-0.03067811157754808
2968,1.021971854489033,B6,233.1491691181239,0.975687,NA,CCMSLIB00003137895,thr-leu,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,-0.08823529411764708,-0.26780916950493183,0.09726305747376812
13172,1.0202829248699008,3XTG,340.2478709554587,4.0990458,NA,CCMSLIB00000068191,tumanoic acid a,M+H,[M + H]+,Polyketides,Linear polyketides,Open-chain polyketides,0.3124006359300476,0.03018246788394684,0.5484874051422891
3303,1.0196521383813872,3XTG,231.1699147507668,1.1043853,NA,CCMSLIB00003139580,val-leu,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.21939586645469003,-0.053424813847191756,0.46173832226808414
12042,1.019339478607938,3XTG,271.0597165242765,3.7165926,NA,CCMSLIB00005730682,"massbank:eq326502 genistein|5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",M+H,[M + H]+,Shikimates and Phenylpropanoids,Isoflavonoids,Flavones,0.2702702702702704,-0.007234675778494567,0.5091232579026336
7291,1.0187273287467724,3XTG,565.1542575724577,2.5340452,NA,CCMSLIB00000848866,"ncgc00169650-03!5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-6-(3,4,5-trihydroxyoxan-2-yl)chromen-4-one",M+H,[M + H]+,Shikimates and Phenylpropanoids,Flavonoids,Flavones,0.2623211446740856,-0.02035120788945869,0.5061595493112607
3663,1.0121129645290177,3XTG,295.1646802829104,1.3395208,NA,CCMSLIB00003136787,tyr-ile,M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.2829888712241654,6.789038805341933e-4,0.5235206798498522
19344,1.0076424548817418,3XTG,725.5543461164951,6.5361,NA,CCMSLIB00005436312,{[2-hexadecanamido-3-hydroxyoctadec-4-en-1-yl]oxy}[2-(trimethylazaniumyl)ethoxy]phosphinic acid,M+Na,[M + H]+,Alkaloids,Ornithine alkaloids,Polyamines,0.21303656597774254,0.025115458987916384,0.3864155529137255
1654,1.0066236755751878,3XTG,146.0810374560083,0.4334412,NA,CCMSLIB00012715417,candidate glycine-c4:0 (delta mass:70.042),M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,0.2305246422893484,-0.0433099502171274,0.47214262184957917
11506,1.0047691707632884,B6,373.2732091583651,3.5814133,NA,CCMSLIB00005465436,"""(4r)-4-((3r,5r,6s,7s,9s,10r,13r,17r)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1h-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",M-2H2O+H,[M + H]+,Terpenoids,Steroids,Cholane steroids,-0.1947535771065183,-0.43489871689660936,0.07125443887116449
4815,1.00241637115882,B6,224.09139519518743,1.916216,NA,CCMSLIB00012716491,candidate tyrosine-c2:0 (delta mass:42.0111),M+H,[M + H]+,Amino acids and Peptides,Small peptides,Dipeptides,-0.24324324324324326,-0.4435210314751568,-0.019828691381178206
