ID,VIP,GroupContrib,mz,RT,SpectrumID,Compound_Name,EffectSize,LowerLimitCI,UpperLimitCI,Category
143,2.89,3XTG,188.1755,0.2219,CCMSLIB00012715981,spermidine-C2:0,0.6884,0.4565,0.8327,N-Acyl Lipids
7517,3.07,3XTG,208.0966,2.5869,CCMSLIB00012716194,phenylalanine-C2:0,0.7051,0.4614,0.8499,N-Acyl Lipids
21407,1.43,3XTG,386.3416,7.2797,CCMSLIB00012717754,phenethylamine-C18:1,0.3243,0.0731,0.5369,N-Acyl Lipids
2547,1.06,B6,187.1439,0.8258,CCMSLIB00012715917,n-acetylcadaverine-C2:0,-0.2289,-0.4748,0.0501,N-Acyl Lipids
17866,1.09,B6,366.2997,5.9181,CCMSLIB00012717563,GABA-C18:2,-0.2424,-0.4506,-0.0093,N-Acyl Lipids
,,,,,,,,,,
19387,2.14,3XTG,309.2783,6.5789,CCMSLIB00003135688,linoleic acid ethyl ester (LAEE),0.4849,0.24,0.6718,Lipids
16887,1.06,B6,307.2627,5.5192,CCMSLIB00003134895,linolenic acid ethyl ester (LNEE),-0.182,-0.4069,0.0636,Lipids
17695,1.72,3XTG,324.2891,5.833,CCMSLIB00003137120,linoleoyl ethanolamide (LEA),0.3879,0.1215,0.6022,Lipids
15587,1.42,B6,496.3395,5.1589,CCMSLIB00010090781,LysoPC(16:0),-0.318,-0.5381,-0.0572,Lipids
16342,1.03,B6,510.3561,5.4224,CCMSLIB00010066669,LysoPC(17:0),-0.2385,-0.4758,0.0312,Lipids
15509,1.25,3XTG,508.3409,5.0567,CCMSLIB00010083916,LysoPC(17:1),0.2337,0.0332,0.4161,Lipids
16643,1.04,3XTG,548.3718,5.4334,CCMSLIB00010096583,LysoPC(20:2),0.2305,-0.0067,0.4432,Lipids
15697,1.58,B6,546.3566,5.1181,CCMSLIB00010079626,LysoPC(20:3),-0.3275,-0.5489,-0.0631,Lipids
15255,1.68,B6,544.3399,4.95,CCMSLIB00010083542,LysoPC(20:4),-0.4006,-0.6113,-0.137,Lipids
16585,2.09,3XTG,508.3748,5.4145,CCMSLIB00010062553,LysoPC(O-18:1/0:0),0.4833,0.2242,0.6786,Lipids
15433,1.14,B6,452.2768,5.0255,CCMSLIB00010086490,LysoPE(16:1),-0.2989,-0.5214,-0.0384,Lipids
15827,1.41,B6,480.3083,5.2028,CCMSLIB00010088759,LysoPE(18:1),-0.2909,-0.5133,-0.032,Lipids
18863,1.54,B6,295.2629,6.3454,CCMSLIB00003139449,ricinoleic acid methyl ester,-0.2893,-0.4685,-0.0873,Lipids
18306,1.11,3XTG,305.2471,6.0713,CCMSLIB00003135917,stearidonic acid ethyl ester,0.2758,0.0088,0.5061,Lipids
20185,1.45,3XTG,311.2939,6.8676,CCMSLIB00003136619,oleic acid ethyl ester,0.3084,0.049,0.5289,Lipids
17017,1.18,3XTG,295.2263,5.5367,CCMSLIB00003136345,9-oxo-ODE,0.2798,0.0027,0.517,Lipids
16106,1.04,B6,275.2005,5.2506,CCMSLIB00003136504,9-oxo-OTrE,-0.2019,-0.4149,0.0321,Lipids
16331,1.17,3XTG,279.2315,5.3354,CCMSLIB00003134812,9(10)-EpOME,0.3116,0.0372,0.5423,Lipids
14483,1.64,3XTG,322.2736,4.6723,CCMSLIB00003138070,linolenoyl ethanolamide,0.4165,0.1505,0.6263,Lipids
16194,2.4,3XTG,482.3594,5.2884,CCMSLIB00003138765,LysoPC(O-16:0),0.5525,0.3009,0.7322,Lipids
17389,2.25,B6,524.3703,5.6954,CCMSLIB00003137839,LysoPC(18:0),-0.5612,-0.7421,-0.3041,Lipids
14834,1.12,3XTG,297.242,4.7635,CCMSLIB00003134797,12(13)-EpOME,0.2321,-0.0435,0.4749,Lipids
15555,1.3,3XTG,277.216,5.0644,CCMSLIB00003136232,13-oxo-ODE,0.31,0.0342,0.542,Lipids
,,,,,,,,,,
10604,1.36,B6,595.344,3.2537,CCMSLIB00001059689,stercobilin,-0.3235,-0.5532,-0.0482,Heme
,,,,,,,,,,
1347,1.64,B6,184.0601,0.4167,CCMSLIB00005884006,4-pyridoxate,-0.3975,-0.6121,-0.1283,B Vitamins
7352,1.27,B6,555.2505,2.549,CCMSLIB00004716660,pantethine,-0.159,-0.2876,-0.0248,B Vitamins
1988,1.26,B6,220.1176,0.6015,CCMSLIB00005884606,pantothenic acid,-0.2544,-0.4935,0.0205,B Vitamins
184,2.96,B6,265.1113,0.2254,CCMSLIB00005884239,thiamine,-0.7377,-0.875,-0.4905,B Vitamins
,,,,,,,,,,
1287,2.18,B6,253.0927,0.409,CCMSLIB00003138864,2'-deoxy-inosine,-0.5421,-0.7291,-0.2799,Energy
1125,2.01,B6,252.1083,0.3349,CCMSLIB00005884558,2'-deoxy-adenosine,-0.4531,-0.6594,-0.1834,Energy
1215,2.17,B6,268.1036,0.3878,CCMSLIB00000578029,adenosine,-0.4897,-0.6839,-0.2306,Energy
756,2.08,B6,152.0565,0.2679,CCMSLIB00003137276,guanine,-0.4976,-0.6897,-0.2401,Energy
990,2.43,B6,137.0457,0.3318,CCMSLIB00000577903,hypoxanthine,-0.6105,-0.7798,-0.3579,Energy
3142,1.49,3XTG,298.0961,1.0797,CCMSLIB00005883730,methylthioadenosine,0.2361,0.0605,0.3975,Energy
1049,2.24,B6,153.0405,0.3443,CCMSLIB00005883744,xanthine,-0.628,-0.8002,-0.3602,Energy
1748,2.37,B6,243.0971,0.5184,CCMSLIB00003135045,thymidine,-0.5612,-0.7412,-0.3059,Energy
1642,2.67,B6,127.0502,0.4819,CCMSLIB00006678509,thymine,-0.6232,-0.7904,-0.3697,Energy
,,,,,,,,,,
3076,2.58,3XTG,205.097,1.0479,CCMSLIB00000222459,tryptophan,0.6137,0.3734,0.7768,Neurotransmitters
1040,1.96,3XTG,182.0809,0.3418,CCMSLIB00005885092,tyrosine,0.504,0.2426,0.6972,Neurotransmitters
1691,2.15,3XTG,166.0861,0.5057,CCMSLIB00005885031,phenylalanine,0.5278,0.2715,0.7142,Neurotransmitters
5042,2.47,3XTG,190.0497,1.9797,CCMSLIB00005883187,kynurenic acid,0.7091,0.5348,0.8255,Neurotransmitters
8558,3.21,3XTG,247.1073,2.7771,CCMSLIB00006679980,n-acetyltryptophan,0.7536,0.5405,0.8758,Neurotransmitters
7603,1.48,3XTG,248.1026,2.6035,CCMSLIB00010111610,n-carbamoyl-tryptophan,0.3736,0.1258,0.5775,Neurotransmitters
8342,1.13,3XTG,291.097,2.7366,CCMSLIB00005741979,malonyl-tryptophan,0.2591,-0.0012,0.4866,Neurotransmitters
3624,1.67,3XTG,180.1016,1.3248,CCMSLIB00005723432,phenylalanine methyl ester,0.43,0.159,0.6408,Neurotransmitters
1686,1.03,3XTG,328.1383,0.5073,CCMSLIB00005741248,fructosyl phenylalanine,0.2671,-0.0068,0.5037,Neurotransmitters
,,,,,,,,,,
916,1.54,3XTG,150.0583,0.3208,CCMSLIB00012474091,methionine,0.3927,0.1397,0.5976,Amino Acids
3309,2.25,3XTG,192.0689,1.1852,CCMSLIB00005884408,n-acetylmethionine,0.5103,0.2508,0.7014,Amino Acids
6344,2.81,3XTG,174.1123,2.3302,CCMSLIB00005884879,n-acetyleucine,0.6963,0.4485,0.8448,Amino Acids
1769,1.25,B6,231.1336,0.52,CCMSLIB00012473813,proline,-0.2424,-0.4874,0.0379,Amino Acids
4549,1.48,3XTG,190.1072,1.831,CCMSLIB00010216432,lactosyl-valine,0.3585,0.0902,0.5783,Amino Acids
240,2.45,3XTG,156.0766,0.2327,CCMSLIB00005884162,histidine,0.5421,0.2861,0.7259,Amino Acids
2046,2.07,3XTG,261.1441,0.6193,CCMSLIB00005747376,glutamyl-leucine,0.5175,0.2624,0.705,Amino Acids
860,1.31,3XTG,189.1232,0.2867,CCMSLIB00010105855,alanyl-norvaline,0.3211,0.0443,0.5522,Amino Acids
6622,1.89,3XTG,232.1177,2.3689,CCMSLIB00010110617,succinoyl-isoleucine,0.4658,0.1962,0.67,Amino Acids
1094,1.16,3XTG,138.0912,0.3588,CCMSLIB00000578053,tyramine,0.1924,-0.0324,0.3987,Amino Acids
,,,,,,,,,,
823,3.29,3XTG,230.1859,0.2694,CCMSLIB00012346142,diacetylspermidine,0.7568,0.5366,0.8805,Polyamines
,,,,,,,,,,
642,1.86,B6,198.097,0.261,CCMSLIB00000205967,galactose,-0.4245,-0.6337,-0.1573,Sugars
301,1.25,B6,180.0864,0.2438,CCMSLIB00003136178,glucosamine,-0.3164,-0.5441,-0.0452,Sugars
