ID1,ID2,EdgeType,Score,Annotation
3309,3311,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
3311,3478,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9739
3557,3559,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9558
3557,3559,MS1 annotation,5.000,[M+K]+ [2M+2H]+2 dm/z=37.9558
3558,3559,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9738
3907,3911,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0266
4108,4112,MS1 annotation,5.000,[M+NH4]+ [M+K]+ dm/z=20.9291
4110,4112,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
4112,4114,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
4566,4572,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9739
4566,4567,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
