Feature ID	Taxon	Confidence
G001899525	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales_A_504705; f__Beijerinckiaceae; g__65-9; s__65-9 sp001899525	1.0
G000283575	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Oscillibacter; s__Oscillibacter valericigenes	1.0
G000215955	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nevskiales; f__Salinisphaeraceae; g__Salinisphaera; s__Salinisphaera shabanensis	1.0
G900101395	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Niabella; s__Niabella drilacis	1.0
G009650435	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae_966727; g__Foetidibacter; s__Foetidibacter luteolus	1.0
G003979435	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Nanosyncoccaceae; g__Nanosyncoccus; s__Nanosyncoccus sp003979185	1.0
G900167375	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Anaerorhabdus; s__Anaerorhabdus furcosa	1.0
G004115085	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__SCSIO-06110; g__Longirhabdus; s__Longirhabdus pacifica	1.0
G900446595	d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter_B; s__Campylobacter_B sputorum	1.0
G000759715	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Demequinaceae; g__Demequina; s__Demequina mangrovi	1.0
G000213555	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae; g__Dysgonomonas; s__Dysgonomonas gadei	1.0
G000190575	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A_858004; s__Phocaeicola_A_858004 salanitronis	1.0
G000577555	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium jeddahense	1.0
G900129365	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_AH; s__Clostridium_AH fallax	1.0
G006974105	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_592522; f__Burkholderiaceae_A_592522; g__Rhodoferax_A_585629; s__Rhodoferax_A_585629 sp006974105	1.0
G009767915	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595427; f__Burkholderiaceae_A_595427; g__Parasutterella; s__Parasutterella sp009767915	1.0
G004101825	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T septicum	1.0
G005298075	d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales; f__Nakamurellaceae; g__Nakamurella; s__Nakamurella flava	1.0
G000709935	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_B_306089; f__Bacillaceae_H_294103; g__Bacillus_P_289499; s__Bacillus_P_289499 indicus	1.0
G900102515	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Butyrivibrio_A_168226; s__Butyrivibrio_A_168226 sp900102515	1.0
G001721685	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Bacillales_H; f__Salisediminibacteriaceae; g__Salisediminibacterium_361356; s__Salisediminibacterium beveridgei	1.0
G004554165	d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Christensenellales; f__CAG-138; g__CAG-1024; s__CAG-1024 sp004554165	1.0
G000751535	d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales_778124; f__Parachlamydiaceae; g__Protochlamydia; s__Protochlamydia naegleriophila	1.0
G007679495	d__Bacteria; p__Firmicutes_D; c__Bacilli; o__Paenibacillales; f__NBRC-103111; g__Paenibacillus_L; s__Paenibacillus_L sp007679495	1.0
