"Sample ID"	Current_Natural_Log_Ratio
14748.CAGE22.FSPF3XTG.L3.2	-4.292613868675716
14748.CAGE20.FSPF3XTG.L4.2	-4.350401998142229
14748.CAGE42.MSPF3XTG.L3.2	-5.7018053772343995
14748.CAGE54.FSPFB6.L3.2	5.156553421502205
14748.MOUSE10.CAGE3.FSPF3XTG.S15	-5.923326844999544
14748.MOUSE17.CAGE1.FSPF3XTG.S15	-4.421446267033468
14748.MOUSE13.CAGE6.FSPFB6.S15	-1.1176700035527176
14748.MOUSE14.CAGE6.FSPFB6.S15	-0.1361397583844024
14748.MOUSE9.CAGE3.FSPF3XTG.S15	-4.439243815005193
14748.MOUSE33.CAGE12.FSPF3XTG.S15	-6.856903182798903
14748.MOUSE50.CAGE50.FSPF3XTG.S7	-5.306727726048322
14748.CAGE47.MSPFB6.L11.1	3.917500705607732
14748.MOUSE56.CAGE53.FSPF3XTG.S7	5.820023581410238
14748.MOUSE53.CAGE50.FSPF3XTG.S7	-4.768707393856909
14748.CAGE42.MSPF3XTG.L6.2	-2.3392343892946528
14748.CAGE45.MSPFB6.L7.1	-0.022808226713591395
14748.MOUSE58.CAGE53.FSPF3XTG.S7	6.094298251016915
14748.CAGE68.MSPF3XTG.L3.2	-1.9709611330630832
14748.MOUSE51.CAGE50.FSPF3XTG.S7	-4.12466512604933
14748.MOUSE59.CAGE54.FSPFB6.S7	6.653851787682509
14748.MOUSE60.CAGE54.FSPFB6.S7	5.0485097389804725
14748.MOUSE89.CAGE22.FSPF3XTG.S12	-4.087703740921282
14748.MOUSE87.CAGE21.FSPF3XTG.S12	-5.759279994769199
14748.MOUSE11.CAGE6.FSPFB6.S15	-0.8396363690374109
14748.CAGE66.FSPFB6.L7.2	6.0430200353805805
14748.CAGE66.FSPFB6.L7.1	6.28114011315809
14748.MOUSE18.CAGE1.FSPF3XTG.S15	-1.2449769188637863
14748.MOUSE54.CAGE50.FSPF3XTG.S7	-5.245263801728459
14748.MOUSE116.CAGE62.FSPF3XTG.S7	-5.030169284721914
14748.MOUSE105.CAGE69.MSPF3XTG.S7	-4.4223754656995675
14748.MOUSE72.CAGE20.FSPF3XTG.S12	-5.493680561377527
14748.MOUSE126.CAGE40.MSPF3XTG.S12	-5.430514536159422
14748.CAGE50.FSPF3XTG.L5.1	-2.778278467882455
14748.CAGE21.FSPF3XTG.L8.1	-5.245621092073787
14748.CAGE2.FSPF3XTG.L14.2	-0.3013305641863706
14748.CAGE70.MSPF3XTG.L2.1	-4.812184355372417
14748.CAGE50.FSPF3XTG.L5.2	-2.7828817209559613
