sample_name	anonymized_name	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_life_stage	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	study_type	taxon_id	title	tube_id	keep	genotype_sex	cohort	genotype_tp
14748.BLANK.AGMP.5.5E	BLANK.AGMP.5.5E	2020-22-12	BLANK.AGMP.5.5E	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego		not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	BLANK.AGMP.5.5E	not applicable	32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome	not applicable	not applicable	256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.5.5E	FALSE	not applicable_not applicable	not applicable	
14748.BLANK.AGMP.5.5F		2020-22-12	BLANK.AGMP.5.5F	TRUE	193	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment		USA:CA:San Diego									BLANK.AGMP.5.5F		32.5	-117.25	UCSD	FALSE	14748	control blank	metagenome			256318	AGMP_P3_3XTG_U19_4-5	BLANK.AGMP.5.5F	FALSE	nan_nan	not applicable	
14748.CAGE1.FSPF3XTG.L10.1	CAGE1.FSPF3XTG.L10.1	3/20/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	10	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132137	TRUE	3XTG_female	COHORT 1	3XTG_10
14748.CAGE1.FSPF3XTG.L10.2	CAGE1.FSPF3XTG.L10.2	3/20/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	10	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132146	TRUE	3XTG_female	COHORT 1	3XTG_10
14748.CAGE1.FSPF3XTG.L11.1	CAGE1.FSPF3XTG.L11.1	4/6/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	11	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132156	TRUE	3XTG_female	COHORT 1	3XTG_11
14748.CAGE1.FSPF3XTG.L11.2	CAGE1.FSPF3XTG.L11.2	4/6/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	11	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132162	TRUE	3XTG_female	COHORT 1	3XTG_11
14748.CAGE1.FSPF3XTG.L12.1	CAGE1.FSPF3XTG.L12.1	5/11/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	12	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132140	TRUE	3XTG_female	COHORT 1	3XTG_12
14748.CAGE1.FSPF3XTG.L12.2	CAGE1.FSPF3XTG.L12.2	5/11/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	12	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132147	TRUE	3XTG_female	COHORT 1	3XTG_12
14748.CAGE1.FSPF3XTG.L13.1	CAGE1.FSPF3XTG.L13.1	6/8/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	13	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132170	TRUE	3XTG_female	COHORT 1	3XTG_13
14748.CAGE1.FSPF3XTG.L13.2	CAGE1.FSPF3XTG.L13.2	6/8/20		FALSE	263	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	3XTG	USA:CA:Pasadena	13	months	UBERON:feces	UBERON:feces	UBERON:feces	mouse	adult	Mus musculus	CAGE 1	10090	34.1	118.13	CalTech	FALSE	14748	feces	mouse gut metagenome	female	Longitudinal	410661	Project 3 3XTG Aim 1-Alzheimers Gut Microbiome Project	363132171	TRUE	3XTG_female	COHORT 1	3XTG_13
