ID1,ID2,EdgeType,Score,Annotation
8556,8980,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9737
8601,8604,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9293
8601,8769,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9738
8604,8769,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
8703,8828,MS1 annotation,8.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
8929,10105,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
8929,9590,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9819
9075,9076,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
9075,9076,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0264
9076,9081,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
9096,9103,MS1 annotation,4.000,[2M+2H]+2 [M+Na]+ dm/z=21.9818
9096,9099,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
9099,9103,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0263
9099,9112,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9293
9208,9211,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
9208,9211,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
9380,9471,MS1 annotation,4.000,[M+NH4]+ [M+K]+ dm/z=20.9292
9380,9387,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9736
9387,9471,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
9450,9456,MS1 annotation,7.500,[M+Na]+ [2M+NH4]+ dm/z=325.1352
9450,9458,MS1 annotation,7.500,[M+H]+ [2M+NH4]+ dm/z=347.1170
9452,9458,MS1 annotation,7.500,[M+H]+ [2M+Na]+ dm/z=352.0720
9452,9465,MS1 annotation,7.500,[M+NH4]+ [2M+Na]+ dm/z=335.0454
9456,9458,MS1 annotation,7.000,[M+H]+ [M+Na]+ dm/z=21.9818
9456,9465,MS1 annotation,7.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
9456,9459,MS1 annotation,7.000,[M+K]+ [M+Na]+ dm/z=15.9740
9458,9465,MS1 annotation,7.000,[M+NH4]+ [M+H]+ dm/z=17.0266
9459,9465,MS1 annotation,7.000,[M+NH4]+ [M+K]+ dm/z=20.9293
9590,10105,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0263
9638,10327,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
9904,9953,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9291
9904,10920,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
9953,10920,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9738
10019,10727,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0266
10019,10744,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9822
10038,10044,MS1 annotation,3.500,[2M+Na]+ [M+H]+ dm/z=337.2568
10062,10070,MS1 annotation,5.500,[2M+Na]+ [M+H]+ dm/z=335.1120
10062,10137,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9559
10062,10068,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9819
10062,10066,MS1 annotation,5.000,[2M+NH4]+ [M+H]+ dm/z=330.1566
10062,10137,MS1 annotation,5.000,[M+K]+ [2M+2H]+2 dm/z=37.9559
10062,10068,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
10068,10137,MS1 annotation,5.000,[M+K]+ [M+Na]+ dm/z=15.9740
10118,10129,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9559
10123,10129,MS1 annotation,5.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
10123,10130,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
10129,10130,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9819
10129,10130,MS1 annotation,5.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
10174,10175,MS1 annotation,5.000,[2M+2H]+2 [M+K]+ dm/z=37.9556
10633,10640,MS1 annotation,3.000,[M+NH4]+ [M+K]+ dm/z=20.9293
10727,10744,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
10813,10825,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0264
10813,10814,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
10906,11204,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
11033,11039,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9738
11258,11262,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
11258,11259,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
11259,11262,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
11259,11262,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9821
11529,11896,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
11529,11896,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9819
11867,12112,MS1 annotation,6.500,[2M+Na]+ [M+H]+ dm/z=543.3265
12112,12114,MS1 annotation,6.500,[M+K]+ [2M+Na]+ dm/z=505.3710
12161,12444,MS1 annotation,3.500,[M+H]+ [2M+Na]+ dm/z=317.2318
12165,12172,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
12165,12173,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
12165,12172,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9820
12165,12173,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
12172,12173,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
12249,13591,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
12517,12521,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9815
12517,12521,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9815
13115,13118,MS1 annotation,4.500,[2M+Na]+ [M+K]+ dm/z=296.1609
13117,13118,MS1 annotation,4.500,[2M+Na]+ [M+NH4]+ dm/z=317.0901
13117,13121,MS1 annotation,4.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0265
13118,13121,MS1 annotation,4.500,[M+H]+ [2M+Na]+ dm/z=334.1166
13131,13140,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
13131,13525,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
13131,13880,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9819
13175,13191,MS1 annotation,6.000,[M+Na]+ [M+K]+ dm/z=15.9742
13175,13192,MS1 annotation,6.500,[2M+Na]+ [M+K]+ dm/z=507.3871
13175,13207,MS1 annotation,6.000,[2M+2H]+2 [M+K]+ dm/z=37.9558
13192,13207,MS1 annotation,6.500,[M+H]+ [2M+Na]+ dm/z=545.3428
13212,13591,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
13217,13591,MS1 annotation,5.000,[M+Na]+ [M+K]+ dm/z=15.9737
13420,13422,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9819
13420,13754,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9818
13525,13880,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0265
13551,13573,MS1 annotation,4.000,[M+Na]+ [M+K]+ dm/z=15.9738
13551,13567,MS1 annotation,4.000,[2M+2H]+2 [M+K]+ dm/z=37.9559
13752,13754,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9818
13839,14078,MS1 annotation,3.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0261
15425,15437,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9737
15430,15437,MS1 annotation,3.000,[M+K]+ [M+NH4]+ dm/z=20.9291
16526,16557,MS1 annotation,4.000,[M-H+2Na]+ [M+NH4]+ dm/z=26.9390
16555,16557,MS1 annotation,4.000,[M-H+2Na]+ [M+H]+ dm/z=43.9649
16555,16557,MS1 annotation,4.000,[M-H+2Na]+ [2M+2H]+2 dm/z=43.9649
16625,16646,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9855
16625,16646,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9855
17923,17934,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0262
17923,17934,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0262
18150,18155,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9825
18150,18152,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
18152,18159,MS1 annotation,4.000,[M-H+2Na]+ [M+NH4]+ dm/z=26.9376
18152,18155,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0266
18359,18362,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
18551,18684,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
18551,18685,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0270
18684,18685,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9822
19919,20172,MS1 annotation,3.000,[M+NH4]+ [2M+H]+ dm/z=149.9252
